updateTime,latitude,longitude,speed,direction,address
1768036698000,-8.911232,13.200392,2783.556,291,
1768036708000,-8.910804,13.199984,2039.0520000000001,350,
1768036710000,-8.910633,13.20008,2600.208,7,
1768036718000,-8.9096365,13.200275,3526.208,355,
1768036721000,-8.909456,13.200256,3518.8,355,
1768036734000,-8.907865,13.199933,6115.304,348,
1768036746000,-8.906647,13.199672,2781.704,344,
1768036756000,-8.905225,13.199447,4646.668,341,
1768036767000,-8.904057,13.199172,5015.216,354,
1768036770000,-8.903793,13.199153,5009.66,358,
1768036777000,-8.902868,13.198947,2966.904,342,
1768036789000,-8.902295,13.198833,1305.66,34,
1768036791000,-8.902318,13.199025,2413.156,82,
1768036794000,-8.902308,13.19929,3522.504,80,
1768036799000,-8.902205,13.200124,5011.512000000001,69,
1768036805000,-8.902122,13.200962,5744.904,81,
1768036818000,-8.901598,13.202845,5939.364,75,
1768036827000,-8.901248,13.204055,2789.112,64,
1768036830000,-8.901205,13.204164,2602.06,72,
1768036842000,-8.901045,13.205334,4461.468,81,
1768036854000,-8.90056,13.207064,5943.068,75,
1768036861000,-8.900215,13.208194,4630,70,
1768036866000,-8.900026,13.20865,4817.052,74,
1768036871000,-8.899837,13.209224,3157.66,82,
1768036877000,-8.8997,13.209355,1494.5639999999999,329,
1768036880000,-8.89956,13.20916,1496.416,311,
1768036882000,-8.899513,13.209,2787.2599999999998,293,
1768036886000,-8.899722,13.208362,5557.852,246,
1768036890000,-8.899881,13.208072,5572.668,242,
1768036901000,-8.900508,13.206384,6122.712,255,
1768036906000,-8.90074,13.20545,6487.556,258,
1768036914000,-8.90096,13.204692,4267.008,255,
1768036926000,-8.901207,13.203547,2783.556,269,
1768036931000,-8.900911,13.203247,2970.608,314,
1768036935000,-8.900607,13.20306,3709.5559999999996,327,
1768036938000,-8.900418,13.20296,3904.0160000000005,328,
1768036950000,-8.899054,13.20231,5009.66,335,
1768036962000,-8.897638,13.201573,5005.956,332,
1768036974000,-8.8961115,13.2007065,5187.451999999999,336,
1768036983000,-8.895211,13.20028,4079.9559999999997,339,
1768036986000,-8.894995,13.200203,4455.912,340,
1768036998000,-8.893784,13.19954,5011.512000000001,329,
1768037003000,-8.893247,13.199235,3153.956,346,
1768037009000,-8.892745,13.199012,4268.86,333,
1768037019000,-8.892115,13.1987,1122.3120000000001,350,
1768037021000,-8.892045,13.198702,1305.66,13,
1768037027000,-8.8918915,13.198943,3524.3559999999998,68,
1768037034000,-8.891592,13.199652,5189.304,64,
1768037046000,-8.8908,13.201246,5198.564,61,
1768037058000,-8.89007,13.2026415,4267.008,65,
1768037061000,-8.889825,13.203023,4642.964,48,
1768037070000,-8.889138,13.203729,4631.852,41,
1768037081000,-8.8878765,13.204853,6117.156,34,
1768037085000,-8.88763,13.205025,5556,35,
1768037094000,-8.886668,13.205704,3900.3120000000004,32,
1768037106000,-8.8854065,13.206607,4081.808,29,
1768037116000,-8.88493,13.206865,1309.364,16,
1768037118000,-8.884833,13.2069,2607.616,26,
1768037122000,-8.88452,13.207085,3889.2,37,
1768037130000,-8.88382,13.20755,4079.9559999999997,42,
1768037134000,-8.883455,13.207787,4078.1040000000003,25,
1768037140000,-8.883014,13.207995,2416.8599999999997,40,
1768037142000,-8.882914,13.20809,2978.016,37,
1768037144000,-8.8827715,13.208177,3522.504,27,
1768037154000,-8.882118,13.208565,3339.156,36,
1768037166000,-8.880897,13.20917,5004.104,24,
